
Msg Id: 7 | Log level: 5 | Src Task Id: 5 | Payload: Proximity Sensor initialized | Time: 1513053209 | 
Msg Id: 7 | Log level: 5 | Src Task Id: 1 | Payload: Main task initialized | Time: 1513053211 | 
Msg Id: 7 | Log level: 6 | Src Task Id: 1 | Payload: Received Heartbeats | Time: 1513053213 | 
Msg Id: 7 | Log level: 6 | Src Task Id: 1 | Payload: Received Heartbeats | Time: 1513053215 | 
Msg Id: 7 | Log level: 6 | Src Task Id: 1 | Payload: Received Heartbeats | Time: 1513053217 | 
Msg Id: 7 | Log level: 6 | Src Task Id: 1 | Payload: Received Heartbeats | Time: 1513053219 | 
Msg Id: 7 | Log level: 6 | Src Task Id: 1 | Payload: Received Heartbeats | Time: 1513053221 | 
Msg Id: 7 | Log level: 6 | Src Task Id: 1 | Payload: Received Heartbeats | Time: 1513053223 | 
Msg Id: 7 | Log level: 6 | Src Task Id: 1 | Payload: Received Heartbeats | Time: 1513053225 | 
Msg Id: 7 | Log level: 6 | Src Task Id: 1 | Payload: Received Heartbeats | Time: 1513053227 | 
Msg Id: 7 | Log level: 6 | Src Task Id: 1 | Payload: Received Heartbeats | Time: 1513053229 | 
Msg Id: 7 | Log level: 6 | Src Task Id: 1 | Payload: Received Heartbeats | Time: 1513053231 | 
Msg Id: 7 | Log level: 6 | Src Task Id: 1 | Payload: Received Heartbeats | Time: 1513053233 | 
Msg Id: 7 | Log level: 6 | Src Task Id: 1 | Payload: Received Heartbeats | Time: 1513053235 | 
Msg Id: 7 | Log level: 6 | Src Task Id: 1 | Payload: Received Heartbeats | Time: 1513053237 | 
Msg Id: 7 | Log level: 6 | Src Task Id: 1 | Payload: Received Heartbeats | Time: 1513053239 | 
Msg Id: 7 | Log level: 6 | Src Task Id: 1 | Payload: Received Heartbeats | Time: 1513053241 | 
Msg Id: 7 | Log level: 6 | Src Task Id: 1 | Payload: Received Heartbeats | Time: 1513053243 | 
Msg Id: 7 | Log level: 6 | Src Task Id: 1 | Payload: Received Heartbeats | Time: 1513053245 | 
Msg Id: 7 | Log level: 6 | Src Task Id: 1 | Payload: Received Heartbeats | Time: 1513053247 | 
Msg Id: 7 | Log level: 6 | Src Task Id: 1 | Payload: Received Heartbeats | Time: 1513053249 | 
Msg Id: 7 | Log level: 6 | Src Task Id: 1 | Payload: Received Heartbeats | Time: 1513053251 | 
